0	25
1	9
2	14
3	12
4	10
5	9
6	13
7	8
8	17
9	10
10	13
11	13
12	18
13	15
14	9
15	9
16	16
17	6
18	8
19	6
20	14
21	9
22	11
23	15
24	4
25	7
26	9
27	8
28	8
29	6
30	5
31	12
32	5
33	7
34	6
35	2
36	3
37	6
38	3
39	6
40	2
41	3
42	2
43	7
44	8
45	4
46	3
47	7
48	3
49	4
50	3
51	5
52	7
53	4
54	1
55	3
56	3
57	4
58	5
59	3
60	2
61	2
64	1
65	3
66	3
68	2
69	3
71	1
72	3
74	2
76	2
77	1
78	1
79	3
80	2
81	1
83	2
84	1
85	1
86	2
87	1
88	2
89	1
92	2
96	1
98	1
99	2
100	1
101	1
102	1
103	2
104	1
106	1
107	2
108	1
111	2
112	1
113	1
120	2
121	2
124	1
125	2
133	1
134	1
136	1
138	1
140	1
141	1
142	1
143	1
145	1
153	1
159	1
163	1
164	1
180	1
191	1
204	1
217	1
221	1
